Application ID,Applicant Name,Email,Intended Major,High School State,Application Fee,Submission Date
1076.0,Wanda Allen   ,wallen@stark.com,Journalism,TX,$152.76,"Sep 29, 2023"
1192.0, HAL allen ,hallen@edu.org,,NJ,$40.16,unknown
,STEVE Allen  ,sallen@gmail.com,Engineering,NV,$294.70,04-24-2023
1458.0,BRUCE STONE,bstone@stark.com,Art,TX, $1.09 ,2023-09-04
1439.0,   SARA PRINCE,sprince@yahoo.com,Journalism,NY,"$1,697.19",08-01-2023
1918.0,   PETER rogers ,progers@stark.com,Journalism,,"$1,947.44",2023-10-24
1660.0,Mary wayne  ,mwayne@dailybugle.com,History,WA, $459.53 ,2023/03/06
1309.0, JOHN Kent ,jkent@gmail.com,Agriculture,OR," $1,375.73 ",05/07/2023
1743.0,BARRY maximoff  ,bmaximoff@stark.com,Physics,AZ,$597.71,02/15/2023
,   Wanda MAXIMOFF,wmaximoff@skynet.com,History,OR, $873.30 ,06/25/2023
,   Arthur SMITH  ,asmith@gmail.com,Art,,$633.03,"Jun 15, 2023"
1616.0, STEVE PRINCE  ,sprince@dailybugle.com,,OR,$283.67,08/31/2023
, MARY MAXIMOFF   ,mmaximoff@dailybugle.com,Engineering,OR,"$1,960.49",2023-10-10
1199.0,   bob jones,bjones@stark.com,Art,WA,$225.04,"Oct 18, 2023"
1598.0,Peter jordan ,pjordan@dailybugle.com,Journalism,OR,"$1,617.10",2023/01/06
,Alice Kent   ,akent@edu.org,Math,AZ,"$1,898.85",2023-11-18
1882.0,  DIANA jane,djane@outlook.com,Biology,TX,$899.88,"Mar 13, 2023"
1428.0,WANDA CONNOR,wconnor@edu.org,Engineering,OR,"$1,514.71",05/16/2023
1497.0, Peter JONES ,pjones@gmail.com,Computer Science,KS,"$1,124.11",2023/04/17
1603.0, Hal doe,hdoe@yahoo.com,Journalism,,$628.91,pending
1010.0,Bruce wayne  ,bwayne@gmail.com,Engineering,FL," $1,078.47 ","Oct 20, 2023"
, charlie PARKER   ,cparker@skynet.com,History,, $132.46 ,05-16-2023
1670.0, BRUCE BROWN ,bbrown@outlook.com,Agriculture,OR,$565.20,2023/02/15
,Steve PARKER ,sparker@skynet.com,Business,NV, $160.31 ,2023-08-24
1928.0,   Peter Maximoff ,pmaximoff@yahoo.com,History,CA, $512.91 ,2023-07-29
1557.0,  ALICE wayne  ,awayne@outlook.com,,NV,$528.08,2023-11-10
1636.0,BOB Smith   ,bsmith@stark.com,Biology,KS,$215.32,2023/03/10
, CHARLIE JANE,cjane@stark.com,Journalism,WA,$687.15,"Jul 25, 2023"
1371.0,   ARTHUR ROGERS   ,arogers@outlook.com,Engineering,NJ,$453.56,05-28-2023
1834.0, HAL brown,hbrown@stark.com,Engineering,CA,"$1,289.52","Jan 27, 2023"
1582.0,Barry MAXIMOFF,bmaximoff@yahoo.com,Business,FL,$803.04,2023/06/25
1333.0,DIANA STONE,dstone@skynet.com,Business,NJ, $124.82 ,pending
1945.0, charlie JONES  ,cjones@edu.org,Biology,WA,"$1,512.96",09/28/2023
1210.0,  Bruce Allen  ,ballen@skynet.com,Computer Science,AZ,"$1,160.63",08-30-2023
1319.0, peter DOE   ,pdoe@edu.org,,FL,$22.59,2023-05-25
1457.0, MARY WAYNE  ,mwayne@skynet.com,Computer Science,NV, $406.91 ,"Jul 11, 2023"
1088.0, charlie rogers   ,crogers@gmail.com,History,CA,$476.88,11/15/2023
1879.0, Barry connor  ,bconnor@skynet.com,Math,CA,$787.61,2023-08-29
1350.0,BOB ALLEN   ,ballen@stark.com,History,CA,"$1,935.03","Jun 03, 2023"
, BOB JANE,bjane@stark.com,Computer Science,FL, $913.50 ,05/16/2023
1413.0, BRUCE DOE,bdoe@edu.org,Physics,,"$1,236.01",unknown
1277.0,  WANDA STONE  ,wstone@edu.org,Computer Science,KS,$824.41,pending
1959.0, JOHN maximoff   ,jmaximoff@gmail.com,Journalism,NY,$106.80,"Aug 20, 2023"
, MARY wayne   ,mwayne@skynet.com,,KS," $1,536.99 ","Aug 03, 2023"
1213.0,  ALICE PARKER ,aparker@gmail.com,History,KS,$624.18,"Sep 15, 2023"
1096.0,  ALICE BROWN   ,abrown@stark.com,,,$733.90,2023-05-23
1078.0,   STEVE MAXIMOFF  ,smaximoff@stark.com,Journalism,NY,$937.84,"May 21, 2023"
1703.0,  HAL rogers   ,hrogers@dailybugle.com,Biology,FL," $1,526.35 ",2023-09-17
1136.0, Clark PRINCE,cprince@gmail.com,History,NV,$504.84,unknown
1208.0,  CHARLIE DOE   ,cdoe@edu.org,Biology,AZ,"$1,632.03",2024-01-01
1522.0,DIANA BROWN  ,dbrown@outlook.com,Computer Science,AZ, $956.57 ,2023-09-11
1837.0, DIANA KENT ,dkent@stark.com,Journalism,NJ,$785.26,pending
,bruce PRINCE ,bprince@outlook.com,Art,CA," $1,679.95 ",09-26-2023
1568.0,bruce JONES  ,bjones@skynet.com,Physics,CA,"$1,822.72",2023-03-13
1260.0,   bob kent  ,bkent@dailybugle.com,Biology,TX,"$1,280.58",04-14-2023
1467.0, BRUCE STONE ,bstone@outlook.com,Computer Science,,$863.90,2023/11/17
1039.0, Diana Kent ,dkent@yahoo.com,Engineering,NV," $1,193.58 ",2023-04-10
1030.0,VICTOR JORDAN   ,vjordan@edu.org,,WA," $1,706.90 ","Aug 03, 2023"
1697.0,john Prince   ,jprince@gmail.com,,,"$1,459.10","Oct 30, 2023"
1451.0,   CHARLIE brown ,cbrown@stark.com,Computer Science,AZ,$819.26,07/22/2023
1054.0,BOB STONE   ,bstone@yahoo.com,Biology,,"$1,592.29",07/11/2023
1023.0,   MARY jordan,mjordan@skynet.com,Math,FL,$728.44,2023/12/07
1513.0,ARTHUR Doe,adoe@gmail.com,Biology,CA,$193.68,01/04/2023
1113.0,  BARRY kent ,bkent@outlook.com,History,OR,$634.08,2023-05-21
1109.0,  WANDA BROWN  ,wbrown@yahoo.com,Art,NJ,"$1,187.45","Sep 18, 2023"
1506.0, hal rogers,hrogers@gmail.com,Journalism,WA," $1,880.57 ",07/11/2023
1966.0,   VICTOR Jones,vjones@dailybugle.com,Physics,NV,$627.39,2023-03-03
,  diana WAYNE ,dwayne@stark.com,Art,NY,$789.44,03-14-2023
1003.0,barry Connor ,bconnor@skynet.com,Physics,NJ,"$1,979.05",2023-10-13
1275.0,   Hal jane,hjane@gmail.com,Physics,,"$1,863.18",2023-04-28
1656.0,   Bob WAYNE,bwayne@dailybugle.com,Engineering,, $653.08 ,2023/06/21
,  HAL jordan ,hjordan@gmail.com,Physics,NJ,$999.36,2023-07-25
1854.0,mary ROGERS  ,mrogers@skynet.com,Computer Science,NY,$398.25,01/03/2023
1759.0, ALICE Parker ,aparker@edu.org,Art,KS, $375.50 ,10/23/2023
1796.0,   Sara CURRY  ,scurry@skynet.com,Art,NY, $789.81 ,2023/04/14
1902.0, John JANE ,jjane@outlook.com,Math,WA," $1,779.17 ",2023/11/10
1394.0,  Steve maximoff,smaximoff@stark.com,,NY,$767.26,07/12/2023
,  barry CURRY  ,bcurry@skynet.com,,TX, $307.38 ,"Jun 19, 2023"
1614.0, CLARK rogers,crogers@yahoo.com,,AZ,$532.36,2023-02-21
1877.0, clark Maximoff ,cmaximoff@edu.org,Math,,"$1,743.62","Oct 21, 2023"
1174.0,   Alice connor  ,aconnor@stark.com,Journalism,,$913.49,"May 30, 2023"
1917.0,Arthur CONNOR,aconnor@edu.org,Physics,NV,$477.17,"Dec 15, 2023"
1058.0, PETER KENT,pkent@dailybugle.com,Engineering,CA," $1,159.15 ",2023/02/16
1265.0,  john KENT,jkent@skynet.com,Agriculture,FL,"$1,788.63",2023/12/16
1063.0,  BARRY Jane,bjane@edu.org,Computer Science,OR,$183.35,"Nov 24, 2023"
1789.0,BARRY SMITH,bsmith@dailybugle.com,Math,NV," $1,043.35 ",2023-11-26
1261.0, Diana PARKER ,dparker@dailybugle.com,,CA,"$1,951.29",05-22-2023
1100.0,STEVE STONE ,sstone@outlook.com,Agriculture,NV, $689.03 ,"Oct 10, 2023"
, Bruce ROGERS,brogers@outlook.com,Math,NY,$543.62,06-08-2023
1299.0,peter Wayne,pwayne@dailybugle.com,Journalism,KS,$689.05,2023-06-06
1615.0,  hal JORDAN   ,hjordan@yahoo.com,History,NJ,"$1,411.71",unknown
1178.0, arthur CURRY,acurry@yahoo.com,,KS,$813.03,04/17/2023
1933.0,MARY jones   ,mjones@yahoo.com,Physics,NV," $1,427.44 ",2023/09/29
1778.0, JOHN Rogers   ,jrogers@yahoo.com,Art,AZ," $1,777.21 ",05-14-2023
1139.0, ALICE Connor   ,aconnor@gmail.com,Art,WA,"$1,354.07",07-16-2023
1803.0,   Bruce jordan   ,bjordan@dailybugle.com,Business,KS,$652.02,2023-09-29
1168.0,  CHARLIE JORDAN ,cjordan@stark.com,Computer Science,,$135.07,2023/01/21
1066.0,Mary JONES   ,mjones@skynet.com,Art,," $1,566.45 ",09/24/2023
1256.0,   Alice STONE  ,astone@skynet.com,Art,,$267.77,2023/04/30
1067.0,   JOHN SMITH,jsmith@edu.org,Agriculture,,$161.58,2023-02-03
1986.0, ALICE Doe  ,adoe@stark.com,Engineering,NV,$786.35,2023-04-11
1012.0,   wanda Brown,wbrown@gmail.com,Math,NY," $1,852.73 ",03/27/2023
1531.0,  ALICE JONES ,ajones@edu.org,Biology,CA,"$1,892.43","May 31, 2023"
1319.0, peter DOE   ,pdoe@edu.org,,FL,$22.59,2023-05-25
1984.0,   HAL BROWN   ,hbrown@dailybugle.com,Physics,AZ, $392.31 ,01-20-2023
1866.0, ARTHUR PARKER,aparker@dailybugle.com,Engineering,FL,"$1,196.26",2023-06-22
1576.0,CHARLIE Doe  ,cdoe@yahoo.com,Agriculture,," $1,251.91 ",04-29-2023
1334.0, BARRY JANE   ,bjane@dailybugle.com,Journalism,WA,$763.13,2023-12-06
1286.0,  Steve WAYNE   ,swayne@dailybugle.com,Business,TX,$501.39,12/28/2023
1911.0,   Steve maximoff ,smaximoff@gmail.com,Biology,KS,"$1,297.43",2023/01/04
1323.0, wanda Prince,wprince@edu.org,Agriculture,TX, $380.42 ,09/26/2023
1890.0,  ARTHUR CURRY ,acurry@yahoo.com,Business,KS,"$1,879.88",unknown
1536.0,   MARY CONNOR,mconnor@skynet.com,Art,NV,$542.11,2023-01-25
1692.0, Peter JORDAN   ,pjordan@outlook.com,Biology,KS,$188.22,"May 10, 2023"
1649.0,   hal rogers ,hrogers@dailybugle.com,Biology,CA,"$1,083.10",2023/01/14
1528.0, MARY ROGERS,mrogers@skynet.com,Art,NY,"$1,588.69",2023/09/05
1513.0,ARTHUR Doe,adoe@gmail.com,Biology,CA,$193.68,01/04/2023
1585.0,   peter KENT  ,pkent@stark.com,History,WA,$963.25,2023/03/24
1002.0,  WANDA Jane ,wjane@dailybugle.com,,NJ," $1,970.44 ",02/21/2023
1445.0,Alice Allen   ,aallen@outlook.com,Biology,FL," $1,610.78 ",10-17-2023
1237.0, WANDA WAYNE,wwayne@dailybugle.com,Business,NY,$771.75,pending
1495.0,   Mary jordan  ,mjordan@yahoo.com,Biology,NV,$432.33,11-22-2023
1781.0,  Alice allen  ,aallen@dailybugle.com,,WA," $1,408.44 ",2023-07-22
1327.0,   steve smith  ,ssmith@outlook.com,History,NV, $157.09 ,"Aug 27, 2023"
1547.0,John Wayne   ,jwayne@edu.org,Agriculture,,$857.90,2023-09-19
1858.0,   alice WAYNE,awayne@outlook.com,,NY,"$1,049.13",pending
1529.0, diana BROWN   ,dbrown@stark.com,Business,NV,"$1,566.95","Feb 02, 2023"
1346.0,SARA jane   ,sjane@outlook.com,Journalism,NY,$554.57,07/18/2023
1883.0,   bruce brown   ,bbrown@outlook.com,Agriculture,,"$1,919.24",03-16-2023
1583.0, steve jane  ,sjane@skynet.com,,WA, $124.80 ,2023/08/09
,  victor Smith  ,vsmith@yahoo.com,Business,WA,$385.32,01-27-2023
1587.0,   CHARLIE Rogers  ,crogers@skynet.com,Agriculture,TX,"$1,268.59",unknown
1308.0, bruce Wayne   ,bwayne@dailybugle.com,Physics,OR,$947.69,pending
1059.0,  Victor CONNOR  ,vconnor@stark.com,Agriculture,NJ,"$1,493.12",02/28/2023
1993.0,MARY PRINCE  ,mprince@yahoo.com,Art,NY,"$1,392.16",unknown
1231.0,DIANA STONE   ,dstone@yahoo.com,,, $533.96 ,"May 27, 2023"
1629.0, Bob DOE ,bdoe@gmail.com,Math,CA,"$1,852.09",2023/09/05
1601.0,  hal PARKER   ,hparker@gmail.com,Art,FL,"$1,907.52",08/17/2023
1662.0,   john CONNOR,jconnor@yahoo.com,Business,,$333.87,09-21-2023
1136.0, Clark PRINCE,cprince@gmail.com,History,NV,$504.84,unknown
1915.0,Bruce SMITH  ,bsmith@skynet.com,Computer Science,CA, $623.78 ,"Feb 17, 2023"
1314.0,   Charlie parker,cparker@skynet.com,History,OR,$907.48,"Nov 04, 2023"
1106.0,   WANDA rogers   ,wrogers@yahoo.com,Journalism,,$562.71,"Dec 01, 2023"
1823.0,   peter jane   ,pjane@yahoo.com,Math,FL, $973.07 ,08/10/2023
1055.0, victor CONNOR   ,vconnor@skynet.com,,NJ,$919.14,2023/08/27
1120.0,JOHN KENT,jkent@edu.org,Business,NJ,"$1,380.58",06/01/2023
,victor BROWN  ,vbrown@yahoo.com,,FL,"$1,669.90",06/21/2023
1025.0,  john PRINCE   ,jprince@edu.org,History,TX,"$1,317.70","Dec 06, 2023"
1072.0,Charlie JORDAN ,cjordan@edu.org,Journalism,NJ," $1,443.19 ","Oct 18, 2023"
1549.0,mary brown ,mbrown@gmail.com,Business,NJ," $1,400.32 ",04/24/2023
1044.0, peter stone,pstone@gmail.com,Engineering,AZ,"$1,842.39","Aug 28, 2023"
1296.0,  Mary Prince  ,mprince@stark.com,Computer Science,FL," $1,495.36 ","Jan 06, 2023"
,   Wanda JANE   ,wjane@yahoo.com,Physics,AZ,$516.11,"Apr 04, 2023"
1247.0,  JOHN jordan   ,jjordan@dailybugle.com,Journalism,AZ,"$1,466.45","Aug 26, 2023"
1336.0,   CHARLIE STONE ,cstone@edu.org,Math,WA,$710.61,pending
1351.0, Barry ROGERS,brogers@yahoo.com,,FL,$978.47,"Oct 04, 2023"
,   STEVE Smith ,ssmith@edu.org,Agriculture,KS,"$1,951.11",pending
1737.0, Bruce curry   ,bcurry@gmail.com,Math,TX, $357.59 ,12/11/2023
,ALICE ALLEN  ,aallen@outlook.com,Biology,OR,"$1,983.79",03/26/2023
1420.0,   Steve SMITH   ,ssmith@gmail.com,Physics,, $187.16 ,04-03-2023
1381.0,   STEVE STONE,sstone@outlook.com,Art,,$519.07,03/16/2023
1694.0,Steve CONNOR,sconnor@outlook.com,,TX,"$1,411.28",unknown
1539.0,  BRUCE prince,bprince@dailybugle.com,,NY,$330.23,"May 27, 2023"
1449.0,mary Stone  ,mstone@outlook.com,Engineering,CA,"$1,582.41",10/29/2023
1622.0,  Diana rogers,drogers@gmail.com,Biology,CA,$99.80,05-26-2023
1209.0, STEVE ALLEN  ,sallen@gmail.com,Engineering,NV,"$1,525.84",12-15-2023
1554.0, JOHN CONNOR  ,jconnor@gmail.com,Biology,FL,"$1,481.43","Dec 17, 2023"
1636.0,BOB Smith   ,bsmith@stark.com,Biology,KS,$215.32,2023/03/10
1481.0,   BARRY kent  ,bkent@yahoo.com,Agriculture,KS,$852.20,07/29/2023
1432.0,   steve rogers,srogers@outlook.com,,WA," $1,958.97 ","Oct 24, 2023"
1626.0,  VICTOR JONES ,vjones@skynet.com,Physics,AZ,"$1,755.61",2023-07-21
,  BRUCE JORDAN,bjordan@stark.com,Engineering,OR, $737.17 ,"May 15, 2023"
,  arthur JANE  ,ajane@gmail.com,Agriculture,TX,$932.63,"May 29, 2023"
, john CURRY   ,jcurry@gmail.com,Art,TX,$316.35,unknown
,   peter Smith  ,psmith@gmail.com,History,CA,"$1,731.60",03-05-2023
1901.0,   arthur BROWN  ,abrown@yahoo.com,Business,,$18.45,06-25-2023
,  Wanda JANE   ,wjane@yahoo.com,Biology,,$740.96,2023-01-05
1666.0, arthur jane ,ajane@outlook.com,Engineering,NY,"$1,849.03",unknown
1976.0, JOHN CONNOR,jconnor@dailybugle.com,Math,WA,$343.24,09-09-2023
1477.0, arthur PARKER   ,aparker@dailybugle.com,,," $1,848.31 ","Apr 09, 2023"
1332.0,Hal Curry ,hcurry@dailybugle.com,,WA,"$1,231.14","Apr 16, 2023"
1938.0,arthur Doe,adoe@gmail.com,Art,,"$1,375.91",02/20/2023
1700.0, SARA SMITH ,ssmith@dailybugle.com,Engineering,NV," $1,103.22 ",unknown
1464.0, STEVE CONNOR,sconnor@skynet.com,,,$519.25,04-27-2023
1355.0, arthur Jones   ,ajones@yahoo.com,Biology,,"$1,582.10",07-12-2023
1362.0, clark Brown  ,cbrown@skynet.com,Art,AZ," $1,940.27 ",02/14/2023
1312.0, charlie Jordan   ,cjordan@gmail.com,Physics,NY, $182.38 ,11/21/2023
1318.0,  DIANA Stone ,dstone@skynet.com,Math,OR,$985.01,2023-11-09
1973.0,   sara jane ,sjane@stark.com,Journalism,,$991.50,06/26/2023
1380.0,   STEVE JANE ,sjane@edu.org,History,,"$1,529.44","Feb 04, 2023"
1182.0,   ALICE Connor,aconnor@edu.org,Physics,TX,$549.96,pending
1716.0, DIANA Wayne   ,dwayne@outlook.com,Physics,CA," $1,209.25 ",2023-12-14
1110.0,   DIANA Rogers  ,drogers@stark.com,Biology,NJ," $1,934.14 ","Oct 24, 2023"
1530.0, MARY PARKER ,mparker@gmail.com,Journalism,,$257.63,unknown
1377.0,hal allen ,hallen@dailybugle.com,Business,NJ, $327.58 ,08-06-2023
1713.0,   DIANA smith ,dsmith@yahoo.com,,,"$1,453.57",08-09-2023
1872.0,  WANDA CONNOR,wconnor@gmail.com,Engineering,AZ,"$1,699.18",2023-04-29
1939.0,BARRY SMITH ,bsmith@outlook.com,Computer Science,NV," $1,291.21 ",2023-05-14
1731.0,  BARRY BROWN   ,bbrown@stark.com,Physics,OR, $350.77 ,"Jan 08, 2023"
1292.0,  SARA STONE   ,sstone@dailybugle.com,Computer Science,TX,"$1,099.93",2023-12-03
1436.0,   PETER connor  ,pconnor@yahoo.com,Biology,KS,"$1,761.81",2023-03-23
1835.0, Steve SMITH  ,ssmith@outlook.com,Business,,"$1,531.07",12-09-2023
1307.0,   CHARLIE DOE   ,cdoe@outlook.com,Engineering,FL,$213.54,"Nov 10, 2023"
1289.0,diana Curry ,dcurry@yahoo.com,History,,$383.23,11-25-2023
1968.0,   hal JORDAN ,hjordan@gmail.com,,AZ, $669.68 ,pending
1215.0, CHARLIE PARKER,cparker@outlook.com,Biology,NJ,"$1,542.50",2023/11/01
1630.0,   CLARK MAXIMOFF ,cmaximoff@dailybugle.com,,,"$1,489.20",09-19-2023
1280.0,   clark stone   ,cstone@outlook.com,Agriculture,CA, $304.30 ,2023-01-12
1673.0,   bruce stone ,bstone@stark.com,Agriculture,FL,$57.93,04-21-2023
1450.0,  Diana prince,dprince@stark.com,,NJ," $1,131.53 ",07/13/2023
1298.0,   diana Jordan  ,djordan@gmail.com,Business,TX,"$1,524.07",04/12/2023
1785.0,bob Curry,bcurry@dailybugle.com,Physics,,"$1,970.26",06/17/2023
1137.0,WANDA Wayne,wwayne@gmail.com,Business,CA," $1,273.50 ",02/12/2023
1305.0, bruce Brown   ,bbrown@yahoo.com,Business,AZ,$658.57,"Apr 16, 2023"
1807.0, ALICE Curry ,acurry@yahoo.com,Computer Science,KS," $1,166.90 ",09/01/2023
1294.0,CLARK allen  ,callen@skynet.com,,,"$1,780.65",2023-04-24
1599.0,   ALICE JANE,ajane@yahoo.com,Engineering,FL,"$1,212.22","Sep 23, 2023"
1581.0,ALICE Smith ,asmith@stark.com,,AZ,$798.56,07-18-2023
1029.0, diana WAYNE ,dwayne@yahoo.com,Physics,NY,$829.74,08/27/2023
1165.0, Mary Jane ,mjane@gmail.com,Biology,TX, $880.20 ,11-18-2023
, BARRY DOE ,bdoe@edu.org,Art,TX,"$1,471.84",pending
1310.0,Hal CURRY,hcurry@edu.org,Biology,FL,"$1,037.41","Jan 21, 2023"
1685.0, Clark ROGERS ,crogers@skynet.com,Agriculture,,$832.61,2023/02/04
,STEVE Stone,sstone@stark.com,Engineering,FL,"$1,603.88",2023/05/20
1342.0,BARRY SMITH,bsmith@yahoo.com,Agriculture,NV,$467.32,07/19/2023
1605.0,   victor Stone,vstone@outlook.com,Computer Science,AZ,$653.75,pending
1526.0,CHARLIE Jordan,cjordan@outlook.com,Physics,NY,"$1,960.55",10/31/2023
1065.0,CHARLIE BROWN,cbrown@yahoo.com,,FL,"$1,177.71",unknown
1631.0,   Steve ROGERS  ,srogers@dailybugle.com,Business,NY, $927.93 ,pending
1891.0, CLARK JANE ,cjane@edu.org,Computer Science,NV, $725.99 ,"Aug 03, 2023"
1254.0,Sara KENT ,skent@edu.org,Computer Science,," $1,045.42 ",12/17/2023
1718.0,WANDA stone  ,wstone@outlook.com,Agriculture,OR,$421.27,12/11/2023
1770.0, Barry Jones   ,bjones@dailybugle.com,Agriculture,AZ,$751.64,12/08/2023
1221.0,   MARY Stone ,mstone@skynet.com,Journalism,TX,$966.16,07/30/2023
1235.0,  ALICE BROWN   ,abrown@stark.com,Journalism,,"$1,415.36","Apr 05, 2023"
1429.0,Sara PARKER   ,sparker@skynet.com,,CA,$343.47,12/21/2023
1543.0,wanda rogers,wrogers@outlook.com,Physics,CA,$202.68,"Feb 13, 2023"
,   steve Curry  ,scurry@dailybugle.com,Physics,NV,$843.44,08/08/2023
1588.0,   PETER STONE ,pstone@outlook.com,History,AZ,"$1,910.21",pending
1972.0,  peter PARKER  ,pparker@dailybugle.com,History,WA,$217.43,02/10/2023
1249.0,  bruce JONES   ,bjones@edu.org,Biology,,"$1,297.05","Sep 24, 2023"
1578.0,   PETER JONES,pjones@stark.com,,NJ," $1,094.27 ",02/14/2023
1409.0,  Hal KENT ,hkent@stark.com,Agriculture,WA,"$1,578.63",02-11-2023
1071.0,   BARRY JANE,bjane@skynet.com,Engineering,, $546.54 ,06/23/2023
1094.0,   diana curry ,dcurry@dailybugle.com,Agriculture,,"$1,740.07",2023-08-11
,BARRY WAYNE,bwayne@yahoo.com,Biology,FL,$252.44,2023/10/16
1644.0,  Charlie JANE  ,cjane@yahoo.com,Biology,NY,"$1,177.23","Oct 02, 2023"
1259.0,   Mary wayne  ,mwayne@stark.com,Biology,CA," $1,608.74 ",2023/08/30
1204.0,  WANDA jordan   ,wjordan@skynet.com,Agriculture,KS, $688.50 ,05-13-2023
1798.0,ALICE PARKER,aparker@yahoo.com,Engineering,KS, $924.07 ,01/29/2023
1620.0,   PETER JORDAN ,pjordan@outlook.com,Journalism,WA," $1,178.30 ",05/22/2023
1365.0,JOHN rogers   ,jrogers@edu.org,Business,KS," $1,253.62 ",01-01-2023
1077.0, BARRY ALLEN ,ballen@gmail.com,,AZ, $305.74 ,2023-02-08
1084.0, charlie JORDAN   ,cjordan@gmail.com,History,AZ, $569.86 ,2023-08-18
1994.0,  charlie Rogers   ,crogers@yahoo.com,Journalism,WA, $832.17 ,"Oct 26, 2023"
1082.0,  Diana Jordan ,djordan@dailybugle.com,Math,,"$1,340.91",01/10/2023
1525.0,  alice Prince ,aprince@yahoo.com,History,CA, $724.45 ,"Feb 22, 2023"
1439.0,   SARA PRINCE,sprince@yahoo.com,Journalism,NY,"$1,697.19",08-01-2023
1567.0, STEVE STONE ,sstone@edu.org,Agriculture,OR," $1,064.95 ",unknown
, SARA CONNOR,sconnor@yahoo.com,,WA,$200.47,"Jan 07, 2023"
,Steve Jordan  ,sjordan@outlook.com,Engineering,AZ, $787.24 ,"Nov 26, 2023"
